'CEST';'NCM/SH';'DESCRIÇÃO'
'01.001.00';'3815.12.10';'Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores'
'01.001.00';'3815.12.90';'Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores'
'01.002.00';'3917';'Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos'
'01.003.00';'3918.10.00';'Protetores de caçamba'
'01.004.00';'3923.30.00';'Reservatórios de óleo'
'01.005.00';'3926.30.00';'Frisos, decalques, molduras e acabamentos'
'01.006.00';'4010.3
5910.00.00';'Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias'
'01.007.00';'4016.93.00
4823.90.9';'Juntas, gaxetas e outros elementos com função semelhante de vedação'
'01.008.00';'4016.10.10';'Partes de veículos automóveis, tratores e máquinas autopropulsadas'
'01.009.00';'4016.99.90
5705.00.00';'Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins'
'01.010.00';'5903.90.00';'Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico'
'01.011.00';'5909.00.00';'Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias'
'01.012.00';'6306.1';'Encerados e toldos'
'01.013.00';'6506.10.00';'Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores'
'01.014.00';'6813';'Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias'
'01.015.00';'7007.11.00';'Vidros de dimensões e formatos que permitam aplicação automotiva'
'01.015.00';'7007.21.00';'Vidros de dimensões e formatos que permitam aplicação automotiva'
'01.016.00';'7009.10.00';'Espelhos retrovisores'
'01.017.00';'7014.00.00';'Lentes de faróis, lanternas e outros utensílios'
'01.018.00';'7311.00.00';'Cilindro de aço para GNV (gás natural veicular)'
'01.019.00';'7311.00.00';'Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0'
'01.020.00';'7320';'Molas e folhas de molas, de ferro ou aço'
'01.021.00';'7325';'Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00'
'01.022.00';'7806';'Peso de chumbo para balanceamento de roda'
'01.023.00';'8007.00.90';'Peso para balanceamento de roda e outros utensílios de estanho'
'01.024.00';'8301.20';'Fechaduras e partes de fechaduras'
'01.024.00';'8301.60';'Fechaduras e partes de fechaduras'
'01.025.00';'8301.7';'Chaves apresentadas isoladamente'
'01.026.00';'8302.10.00';'Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns'
'01.026.00';'8302.30.00';'Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns'
'01.027.00';'8310';'Triângulo de segurança'
'01.028.00';'8407.3';'Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87'
'01.029.00';'8408.2';'Motores dos tipos utilizados para propulsão de veículos automotores'
'01.030.00';'8409.9';'Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408'
'01.031.00';'8412.2';'Motores hidráulicos'
'01.032.00';'8413.3';'Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão'
